JD_TBD,MET,segmentID,segmentType,configID,propaMode,forcesID,atmosModel,activeSC,x,y,z,vx,vy,vz,eventType,EarthLat,EarthLon,EarthAlt,EarthFPA,EarthHA,EarthVEL,EarthFixedFPA,EarthFixedHA,EarthFixedVEL,EarthOESMA,EarthOEeccentricity,EarthOERAAN,EarthOEargPeriapsis,EarthOEinclination,EarthOEtrueAnomaly,EarthOEmeanAnomaly,Apogee,Perigee,range
2459899.783872485,-6.6,0,0,0.0,0,0,nrlmsise00,,1331494.1616875806,5443972.474506263,3034651.7825320493,-396.97521780452036,96.60216812519054,0.867177997891788,SLS stages: Engines start!,28.627221977703314,-80.62083300013677,30.0004695952852,-0.0008594184693432262,89.86123975611214,408.56095559305953,-89.81336191944321,324.5957950000326,0.006128316901459647,3190903.1341804885,0.9973310549849629,346.547748256351,269.743735320943,28.434663204384826,180.0000022998789,180.000125663813,-4847.076652460732,-6369620.654986563,0.0
2459899.7839210965,-2.4,0,0,0.0,0,0,nrlmsise00,,1329826.8028252039,5444377.974541957,3034655.438394828,-397.01375100095726,96.44383352551796,0.8468939230295527,SLS stages: MET-adjusted throttle segment.,28.62722197763564,-80.62083300108982,30.00344719135192,-0.006883142374201235,89.86121285382782,408.56094862121216,-89.84594267993025,350.56669862723294,0.04908203292920052,3190903.135527321,0.9973310551127721,346.56534714203815,269.7436699177137,28.43470068469112,180.00001841988941,180.0010064502147,-4847.073554563336,-6369620.655390794,0.0
2459899.783948874,0.0,0,0,0.0,0,0,nrlmsise00,,1328873.9784963822,5444609.452987864,3034657.5251153554,-397.02038802221836,96.41634390871207,0.8701888386069321,SLS SRB: Ignition!,28.627221977715035,-80.62083300000029,29.999999976789837,-2.25524899340679e-13,89.86122487298526,408.5609588625065,-1.1257035273340488e-05,269.99999434179796,8.219665686424626e-06,3190903.134013143,0.9973310549418425,346.57534603004194,269.7437107622843,28.43472198058767,180.0,179.99999999999963,-4847.077124297619,-6369620.654849417,0.0
2459899.783951189,0.2,0,0,0.0,0,0,nrlmsise00,,1328794.5829023528,5444628.771041856,3034657.718687343,-396.950760076537,96.70165761701726,1.0314467526748263,Lift-off,28.6272219752945,-80.62083299540625,30.041309853463407,0.04772001246723092,89.8613471409088,408.56110974201016,89.8525732638764,180.11116880973452,0.3402799246855747,3190903.157873004,0.9973310548071445,346.5759246007942,269.74406428458445,28.434723211742394,179.99987229704035,179.99302239763745,-4847.029898064211,-6369620.654355927,0.13440918696036408
2459899.784585448,55.0,1,0,1.0,1,0,nrlmsise00,,1306824.6545102936,5456523.149961506,3038641.4380379654,-464.81694598185743,355.15818740422407,161.82045829499043,SLS stages: Throttle down for max-Q.,28.630617900205877,-80.60295780423668,7554.388569808613,28.067860806060807,86.85648451955232,606.9415063043189,65.70907116630907,77.4201715718952,313.3145222513054,3199841.3600306506,0.9954115170362018,353.1100890657507,264.35906209096737,28.597297843473065,179.85907478802915,174.13844386776955,6863.3024939429015,-6363454.582432643,1793.9358745656118
2459899.7845891463,55.3195,1,0,1.0,1,0,nrlmsise00,,1306675.8531232853,5456636.899486575,3038693.3349150727,-466.6059804491016,356.90896582589295,163.06318730537302,Mach1,28.630697071908422,-80.60254385853499,7645.927135696423,28.116254928270777,86.81875700156868,609.6677406029968,65.47716086655147,77.42430706233145,315.7997478392974,3199972.5912963096,0.9953743473530664,353.19022928226883,264.29167665642376,28.601205469471523,179.8576375897374,174.1027009125271,7006.220905574039,-6363335.038312955,1835.43965563809
2459899.784773284,71.229,1,0,1.0,1,0,nrlmsise00,,1298362.1978002598,5463070.793743016,3041837.5221550306,-590.8100493440581,456.6955418842493,236.44390645625344,MaxQ,28.636685099044296,-80.57118396949419,12951.852069020726,29.288229842841893,84.84919317334061,783.2835076031986,54.07030766648014,77.58880197946574,473.22101046830613,3208875.636024905,0.9925315513122908,357.34740722816304,260.832045687806,28.869119793926554,179.75788966930833,172.12659418121635,15648.949016917497,-6354171.676967108,4978.386339589488
2459899.784886374,81.0,1,0,1.0,1,0,nrlmsise00,,1292047.760778218,5467893.238752536,3044423.2804683177,-707.2316009650706,532.1145504577809,294.48078074062624,SLS stages: Throttle up.,28.643010744931196,-80.53794951444284,17031.222942196222,29.027860289308563,83.68687283409078,932.7600776395352,47.77586044192281,77.66934904146616,611.2012700321204,3217583.038276707,0.9893535388296949,359.77855046341546,258.8712150698818,29.08621973711294,179.65727146448006,170.69032148487585,22773.203674168326,-6343881.127120755,8307.601037386778
2459899.7853724854,123.0,1,0,1.0,1,0,nrlmsise00,,1246902.193364842,5497528.740262434,3062879.944866712,-1440.8813149756832,814.723029722351,546.2913061127823,SLS stages: Throttle down for SRB separation.,28.70691729528871,-80.19726911026781,42279.24938883348,22.92257688004988,80.93862748163343,1743.0854167654638,29.475866749393607,78.03646611355518,1379.736607536445,3288156.571846796,0.9586765353897145,5.692903936282019,254.88369471918014,29.806303322095616,178.95148804157046,165.89747477961444,62298.12196380366,-6242258.978270211,42391.974754933355
2459899.7854095222,126.2,1,0,1.0,1,0,nrlmsise00,,1242251.9278692997,5500113.879942444,3064619.816938767,-1464.7659872877098,800.3840258044922,540.6845736638154,SLS SRB: SRB are off.,28.71405561753,-80.15871205824786,44425.645431140765,22.117744246054066,80.92641319405399,1754.5637048782148,28.414435547529745,78.06904339073789,1388.2918286393888,3290373.1614461103,0.9576172475693984,5.764366509586188,254.85380871471787,29.816607474265272,178.96554058700164,166.2707578190197,63154.251786354,-6238681.928894133,46245.67734391431
